ano;numero_termo;numero_sei;orgao_acordo;parceiro_acordo;objeto;inicio_vigencia;fim_vigencia;situacao;link_documento;unnamed_10
2026;S/N;2430.01.0000535/2025-96;AGENCIA DE DESENVOLVIMENTO DA REGIAO METROPOLITANA DE BELO HORIZONTE;PREFEITURA MUNICIPAL DE CONFINS;O objeto deste Acordo de Cooperação Técnica é a conjugação de esforços e a colaboração mútua entre os partícipes para a implementação de ações integradas de prestação de serviços técnicos especializados de consultoria e assessoria técnica multidisciplinar, voltada ao planejamento, estruturação, modelagem e apoio à implementação do Projeto de Cidades Inteligentes na Região Metropolitana de Belo Horizonte – SMART/RMBH, com foco na elaboração de estudos e modelagens de concessões/PPPs e demais instrumentos correlatos no MUNICÍPIO.;2026-06-01 00:00:00;2027-12-31 00:00:00;Vigente;https://nuvem.cge.mg.gov.br/index.php/s/Cow4sftN6wEFoxw;
2026;S/N;2430.01.0000536/2025-69;AGENCIA DE DESENVOLVIMENTO DA REGIAO METROPOLITANA DE BELO HORIZONTE;PREFEITURA MUNICIPAL DE FORTUNA DE MINAS;O objeto deste Acordo de Cooperação Técnica é a conjugação de esforços e a colaboração mútua entre os partícipes para a implementação de ações integradas de prestação de serviços técnicos especializados de consultoria e assessoria técnica multidisciplinar, voltada ao planejamento, estruturação, modelagem e apoio à implementação do Projeto de Cidades Inteligentes na Região Metropolitana de Belo Horizonte – SMART/RMBH, com foco na elaboração de estudos e modelagens de concessões/PPPs e demais instrumentos correlatos no MUNICÍPIO.;2026-03-04 00:00:00;2031-03-03 00:00:00;Vigente;https://nuvem.cge.mg.gov.br/index.php/s/4XYPSkJnBBTXojj;
2026;S/N;2430.01.0000537/2025-42;AGENCIA DE DESENVOLVIMENTO DA REGIAO METROPOLITANA DE BELO HORIZONTE;PREFEITURA MUNICIPAL DE IBIRITE;O objeto deste Acordo de Cooperação Técnica é a conjugação de esforços e a colaboração mútua entre os partícipes para a implementação de ações integradas de prestação de serviços técnicos especializados de consultoria e assessoria técnica multidisciplinar, voltada ao planejamento, estruturação, modelagem e apoio à implementação do Projeto de Cidades Inteligentes na Região Metropolitana de Belo Horizonte – SMART/RMBH, com foco na elaboração de estudos e modelagens de concessões/PPPs e demais instrumentos correlatos no MUNICÍPIO.;2026-03-17 00:00:00;2031-03-06 00:00:00;Vigente;https://nuvem.cge.mg.gov.br/index.php/s/obFgDg87SpNYWqq;
2026;S/N;2430.01.0000538/2025-15;AGENCIA DE DESENVOLVIMENTO DA REGIAO METROPOLITANA DE BELO HORIZONTE;PREFEITURA MUNICIPAL DE ITAGUARA;O objeto deste Acordo de Cooperação Técnica é a conjugação de esforços e a colaboração mútua entre os partícipes para a implementação de ações integradas de prestação de serviços técnicos especializados de consultoria e assessoria técnica multidisciplinar, voltada ao planejamento, estruturação, modelagem e apoio à implementação do Projeto de Cidades Inteligentes na Região Metropolitana de Belo Horizonte – SMART/RMBH, com foco na elaboração de estudos e modelagens de concessões/PPPs e demais instrumentos correlatos no MUNICÍPIO.;2026-03-04 00:00:00;2031-03-03 00:00:00;Vigente;https://nuvem.cge.mg.gov.br/index.php/s/bDaMbsgRG7nC8NW;
2026;S/N;2430.01.0000539/2025-85;AGENCIA DE DESENVOLVIMENTO DA REGIAO METROPOLITANA DE BELO HORIZONTE;PREFEITURA MUNICIPAL DE JABOTICATUBAS;O objeto deste Acordo de Cooperação Técnica é a conjugação de esforços e a colaboração mútua entre os partícipes para a implementação de ações integradas de prestação de serviços técnicos especializados de consultoria e assessoria técnica multidisciplinar, voltada ao planejamento, estruturação, modelagem e apoio à implementação do Projeto de Cidades Inteligentes na Região Metropolitana de Belo Horizonte – SMART/RMBH, com foco na elaboração de estudos e modelagens de concessões/PPPs e demais instrumentos correlatos no MUNICÍPIO.;2026-03-04 00:00:00;2031-03-03 00:00:00;Vigente;https://nuvem.cge.mg.gov.br/index.php/s/KmoSieqm4MFbg4t;
2026;S/N;2430.01.0000540/2025-58;AGENCIA DE DESENVOLVIMENTO DA REGIAO METROPOLITANA DE BELO HORIZONTE;PREFEITURA MUNICIPAL DE JUATUBA;O objeto deste Acordo de Cooperação Técnica é a conjugação de esforços e a colaboração mútua entre os partícipes para a implementação de ações integradas de prestação de serviços técnicos especializados de consultoria e assessoria técnica multidisciplinar, voltada ao planejamento, estruturação, modelagem e apoio à implementação do Projeto de Cidades Inteligentes na Região Metropolitana de Belo Horizonte – SMART/RMBH, com foco na elaboração de estudos e modelagens de concessões/PPPs e demais instrumentos correlatos no MUNICÍPIO.;2026-03-04 00:00:00;2031-03-03 00:00:00;Vigente;https://nuvem.cge.mg.gov.br/index.php/s/G2jmtGjeCm8G6kW;
2026;S/N;2430.01.0000541/2025-31;AGENCIA DE DESENVOLVIMENTO DA REGIAO METROPOLITANA DE BELO HORIZONTE;PREFEITURA MUNICIPAL DE MOEDA;O objeto deste Acordo de Cooperação Técnica é a conjugação de esforços e a colaboração mútua entre os partícipes para a implementação de ações integradas de prestação de serviços técnicos especializados de consultoria e assessoria técnica multidisciplinar, voltada ao planejamento, estruturação, modelagem e apoio à implementação do Projeto de Cidades Inteligentes na Região Metropolitana de Belo Horizonte – SMART/RMBH, com foco na elaboração de estudos e modelagens de concessões/PPPs e demais instrumentos correlatos no MUNICÍPIO.;2026-03-20 00:00:00;2031-03-19 00:00:00;Vigente;https://nuvem.cge.mg.gov.br/index.php/s/enjf5GyrBTxyogB;
2026;S/N;2430.01.0000542/2025-04;AGENCIA DE DESENVOLVIMENTO DA REGIAO METROPOLITANA DE BELO HORIZONTE;PREFEITURA MUNICIPAL DE MATOZINHOS;O objeto deste Acordo de Cooperação Técnica é a conjugação de esforços e a colaboração mútua entre os partícipes para a implementação de ações integradas de prestação de serviços técnicos especializados de consultoria e assessoria técnica multidisciplinar, voltada ao planejamento, estruturação, modelagem e apoio à implementação do Projeto de Cidades Inteligentes na Região Metropolitana de Belo Horizonte – SMART/RMBH, com foco na elaboração de estudos e modelagens de concessões/PPPs e demais instrumentos correlatos no MUNICÍPIO.;2026-03-13 00:00:00;2031-03-12 00:00:00;Vigente;https://nuvem.cge.mg.gov.br/index.php/s/sHrGXCSQYTfSC7w;
2026;S/N;2430.01.0000543/2025-74;AGENCIA DE DESENVOLVIMENTO DA REGIAO METROPOLITANA DE BELO HORIZONTE;PREFEITURA MUNICIPAL DE PEDRO LEOPOLDO;O objeto deste Acordo de Cooperação Técnica é a conjugação de esforços e a colaboração mútua entre os partícipes para a implementação de ações integradas de prestação de serviços técnicos especializados de consultoria e assessoria técnica multidisciplinar, voltada ao planejamento, estruturação, modelagem e apoio à implementação do Projeto de Cidades Inteligentes na Região Metropolitana de Belo Horizonte – SMART/RMBH, com foco na elaboração de estudos e modelagens de concessões/PPPs e demais instrumentos correlatos no MUNICÍPIO.;2026-06-08 00:00:00;2031-06-07 00:00:00;Vigente;https://nuvem.cge.mg.gov.br/index.php/s/6mjs9czgoWzWHJk;
2026;S/N;2430.01.0000544/2025-47;AGENCIA DE DESENVOLVIMENTO DA REGIAO METROPOLITANA DE BELO HORIZONTE;PREFEITURA MUNICIPAL DE PRUDENTE DE MORAIS;O objeto deste Acordo de Cooperação Técnica é a conjugação de esforços e a colaboração mútua entre os partícipes para a implementação de ações integradas e complementares de Regularização Fundiária Urbana (REURB) e de fomento à Habitação de Interesse Social (HIS) no território do MUNICÍPIO, visando à promoção do direito fundamental à moradia digna, ao desenvolvimento urbano ordenado e sustentável e à inclusão social da população de baixa renda;2026-03-03 00:00:00;2031-03-02 00:00:00;Vigente;https://nuvem.cge.mg.gov.br/index.php/s/Dzaz46J23GRKzYY;
