ano;numero_termo;numero_sei;orgao_acordo;parceiro_acordo;objeto;inicio_vigencia;fim_vigencia;situacao;link_documento
"2026";"S/N";"2320.01.0001009/2018-29";"FUNDACAO HEMOMINAS";"CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO";"O presente Protocolo de Cooperação Técnica tem por objeto a atuação conjunta do CNPq e da INSTITUIÇÃO, visando propiciar o atendimento da estratégia de governo na realização de projetos de pesquisa científica, tecnológica e/ou de inovação.";"2008-01-17";"INDETERMINADO";"VIGENTE";"https://nuvem.cge.mg.gov.br/index.php/s/dTTbCWc3KDJRBs4"
"2026";"11";"2320.01.0001336/2026-03";"FUNDACAO HEMOMINAS";"COOPERATIVA DOS RECOLHEDORES AUTÔNOMOS DE RESÍDUOS SÓLIDOS E MATERIAIS RECICLÁVEIS DE UBERABA - COOPERU";"Destinação dos materiais recicláveis descartados (papel, plástico, papelão) gerados na unidade da Fundação Hemominas situada em Uberaba (MG)";"2026-04-17";"2027-04-17";"VIGENTE";"https://nuvem.cge.mg.gov.br/index.php/s/295JiTNdy88dwEw"
"2026";"18";"2320.01.0005814/2026-56";"FUNDACAO HEMOMINAS";"FHEMIG - Hospital Eduardo de Menezes";"O Termo de Cooperação Técnica a ser celebrado entre a Fundação Hemominas/Laboratório de Pesquisa e o Hospital Eduardo de Menezes, tem por objeto à realização de testes de PCR em tempo real para HTLV-1 e HTLV-2 nas amostras de sangue encaminhadas pela instituição hospitalar, conforme quantitativo e condições acordados neste instrumento.";"2026-05-27";"2031-05-27";"VIGENTE";"https://nuvem.cge.mg.gov.br/index.php/s/gtaz92nHwoH8KjR"
"2026";"15";"2320.01.0004294/2026-65";"FUNDACAO HEMOMINAS";"Hospital César Leite";"Permissão de Uso diversos equipamentos do ciclo do sangue";"28/04/2026";"27/04/2027";"VIGENTE";"https://nuvem.cge.mg.gov.br/index.php/s/gtaz92nHwoH8KjR"
"2026";"12";"2320.01.0000105/2026-66";"FUNDACAO HEMOMINAS";"INSTITUTO PRO HEMO SAÚDE/IPH";"Concessão de uma licença de uso não exclusiva, intransferível e revogável do Software “Sistema INDICAH BRASIL”, de propriedade desenvolvida pelo Centro de Hematologia e Hemoterapia do Ceará –HEMOCE, em parceria com o Instituto Pró-Hemo Saúde – IPH";"23/02/2026";"22/02/2028";"VIGENTE";"https://nuvem.cge.mg.gov.br/index.php/s/gtaz92nHwoH8KjR"
"2026";"14";"2320.01.0012666/2025-34";"FUNDACAO HEMOMINAS";"MUNICIPIO ALEM PARAIBA";"O presente Termo de Cooperação Técnica tem por objeto o estabelecimento de mútua cooperação entre os partícipes, objetivando a cessão do servidor LUCAS MACRI RODRIGUES,";"2026-04-17";"2026-12-31";"VIGENTE";"https://nuvem.cge.mg.gov.br/index.php/s/gtaz92nHwoH8KjR"
"2026";"13";"2320.01.0001172/2026-66";"FUNDACAO HEMOMINAS";"Município de Passos";"Manutenção do Hemonúcleo no município de Passos";"2026-05-13";"2031-05-13";"VIGENTE";"https://nuvem.cge.mg.gov.br/index.php/s/gtaz92nHwoH8KjR"
"2026";"9";"2320.01.0001569/2026-17";"FUNDACAO HEMOMINAS";"Município de São Lourenço";"Instalação e Operacionalização do PACE";"02/04/2026";"01/04/2031";"VIGENTE";"https://nuvem.cge.mg.gov.br/index.php/s/gtaz92nHwoH8KjR"
"2026";"1";"1320.01.0103096/2025-03";"FUNDACAO HEMOMINAS";"Secretraia de Estado da Saúde";"DESCENTRALIZAÇÃO DO COMPONENTE ESPECIALIZADO DA ASSISTÊNCIA FARMACÊUTICA PARA O TRATAMENTO DA DOENÇA FALCIFORME.";"2026-03-30";"2031-03-30";"VIGENTE";"https://nuvem.cge.mg.gov.br/index.php/s/gtaz92nHwoH8KjR"
"2026";"8";"2320.01.0001847/2026-77";"FUNDACAO HEMOMINAS";"Universidade Federal de Minas Gerais- PRO-Reitoria de Pesquisa-CT Terapias Avançadas UFMG (PRPq-CT Terapias)";"Formação, aperf. e espec. técnica de recursos humanos e desenv. Inst. mediante a disp.de bolsas de sangue total e hemocomponentes";"18/03/2026";"31/12/2030";"VIGENTE";"https://nuvem.cge.mg.gov.br/index.php/s/gtaz92nHwoH8KjR"
"2025";"1";"2320.01.0007236/2024-80";"FUNDACAO HEMOMINAS";"EBSERH/UFTM - Universidade do Triângulo Mineiro";"Implantação e Manutenção do Hemocentro Regional de Uberaba no Município de Uberaba";"27/02/2025";"26/02/2030";"VIGENTE";"https://nuvem.cge.mg.gov.br/index.php/s/gtaz92nHwoH8KjR"
"2025";"18";"2320.01.0004750/2024-78";"FUNDACAO HEMOMINAS";"HOSPITAL METROPOLITANO ODILON BEHRENS";"Cessão de Uso - Equipamentos";"19/12/2025";"19/12/2028";"VIGENTE";"https://nuvem.cge.mg.gov.br/index.php/s/gtaz92nHwoH8KjR"
"2025";"2";"2320.01.0015430/2024-02";"FUNDACAO HEMOMINAS";"Instituto de Previdência dos Servidores do Estado de Minas Gerais - IPSEMG";"Concessão onerosa de parte do imóvel de propriedade do IPSEMG, na Avenida Brasil, nº 688, Santa Efigênia, Bhte";"14/01/2026";"13/01/2061";"VIGENTE";"https://nuvem.cge.mg.gov.br/index.php/s/gtaz92nHwoH8KjR"
"2025";"17";"2320.01.0009573/2024-31";"FUNDACAO HEMOMINAS";"Município de Formiga";"Cessão de Uso diversos equipamentos";"11/10/2025";"29/06/2029";"VIGENTE";"https://nuvem.cge.mg.gov.br/index.php/s/gtaz92nHwoH8KjR"
"2025";"8";"2320.01.0017162/2024-89";"FUNDACAO HEMOMINAS";"Município de Lagoa Santa";"Cessão do Terreno para continuidade das atividades do Centro de Tecidos Biológicos de Minas Gerais – CETEBIO";"30/09/2025";"30/09/2030";"VIGENTE";"https://nuvem.cge.mg.gov.br/index.php/s/gtaz92nHwoH8KjR"
"2025";"9";"2320.01.0001464/2024-45";"FUNDACAO HEMOMINAS";"MUNICÍPIO DE SÃO SEBASTIÃO DO PARAÍSO";"Cessão de bens permanentes para uso no PACE - Valor total R$ 334.378,32";"01/08/2025";"16/09/2026";"VIGENTE";"https://nuvem.cge.mg.gov.br/index.php/s/gtaz92nHwoH8KjR"
"2025";"1";"2320.01.0017703/2024-32";"FUNDACAO HEMOMINAS";"Secretaria de Estado de Planejuamento e Gestão - SEPLAG";"Acordo de Coop. Técnica - Unidade de Atendimento Integrado (UAI) - Barreiro";"14/10/2025";"14/10/2030";"VIGENTE";"https://nuvem.cge.mg.gov.br/index.php/s/gtaz92nHwoH8KjR"
"2025";"19";"2320.01.0018097/2024-64";"FUNDACAO HEMOMINAS";"UNIÃO,/MINISTÉRIO DA SAÚDE";"CESSÃO DE SERVIDORES";"24/02/2025";"24/02/2030";"VIGENTE";"https://nuvem.cge.mg.gov.br/index.php/s/gtaz92nHwoH8KjR"
"2024";"2";"2320.01.0005402/2024-31";"FUNDACAO HEMOMINAS";"ASSOCIACAO DE CATADORES DE MATERIAIS RECICLAVEIS DE POUSO ALEGRE";"Cooperação mútua";"2024-09-17";"2025-09-16";"ENCERRADO";"https://nuvem.cge.mg.gov.br/index.php/s/gtaz92nHwoH8KjR"
